Date,SampleID,TubeNumber,Input_ng,Plate,Row,Column,VolFromSonicatorSample_uL,SequencingPool,Capture,AdapterID,AdapterConcentration,PostLigElutionVol_uL,PostLigQVol_uL,PostLigQuant_ng_uL,PostLigTotal_ng,VolForPCR,PCRInput_ng,PCRPlate,PCRRow,PCRColumn,ForwardPrimerID,ReversePrimerID,PCRCycles,ElutionBuffer,ElutionVol_uL,Vol_Bioanalyzer,Vol_Qubit,FinalConcentrationAfterPCR1Wrong_ng_uL,TotalDNAWrong_ng,SecondPCRCycles,SecondElutionBuffer,SecondElutionVol_uL,SecondVolQubit_uL,SecondQuant_ng_uL,SecondTotalDNA_ng,,,,,,,
,APPC21.23,53,100,2,C,3,25,A,Pop06,Y3,15uM,60,1,0.4,23.6,20,8,2,E,5,L6,706,8,pH20,30,,1,too low,#VALUE!,6,pH20,40,1,1.59,62.01,,,,,,,
,APPC21.25,54,100,2,D,3,25,A,Pop06,Y4,15uM,60,1,0.134,7.906,20,2.68,2,F,5,L6,706,8,pH20,30,,1,too low,#VALUE!,6,pH20,40,1,3.72,145.08,,,,,,,
,APPC21.08,55,100,2,E,3,25,A,Pop06,Y5,15uM,60,1,0.22,12.98,20,4.4,2,G,5,L6,706,8,pH20,30,,1,too low,#VALUE!,6,pH20,40,1,1.44,56.16,,,,,,,
,APPC22.09,56,100,2,F,3,25,A,Pop06,Y6,15uM,60,1,0.362,21.358,20,7.24,2,H,5,L6,706,8,pH20,30,,1,0.12,3.48,6,pH20,40,1,0.472,18.408,,,,,,,
,APPC23.23,57,100,2,G,3,25,A,Pop06,Y7,15uM,60,1,0.392,23.128,20,7.84,2,A,6,L6,706,8,pH20,30,,1,2.12,61.48,6,pH20,40,1,0.788,30.732,,,,,,,
,APPC23.26,58,100,2,H,3,25,A,Pop06,Y8,15uM,60,1,0.276,16.284,20,5.52,2,B,6,L6,706,8,pH20,30,,1,1.12,32.48,6,pH20,40,1,2.98,116.22,,,,,,,
,APPC23.04,59,100,2,A,4,25,A,Pop06,Y9,15uM,60,1,0.33,19.47,20,6.6,2,C,6,L6,706,8,pH20,30,,1,1.53,44.37,6,pH20,40,1,0.946,36.894,,,,,,,
,APPC23.08,60,100,2,B,4,25,A,Pop06,Y10,15uM,60,1,0.276,16.284,20,5.52,2,D,6,L6,706,8,pH20,30,,1,0.722,20.938,6,pH20,40,1,0.956,37.284,,,,,,,
,APPC24.14,61,100,2,A,5,25,A,Pop07,Y1,15uM,60,1,0.244,14.396,20,4.88,2,E,6,L7,707,8,pH20,30,,1,0.304,8.816,6,pH20,40,1,0.654,25.506,,,,,,,
,APPC24.02,62,100,2,B,5,25,A,Pop07,Y2,15uM,60,1,0.452,26.668,20,9.04,2,F,6,L7,707,8,pH20,30,,1,0.342,9.918,6,pH20,40,1,4.28,166.92,,,,,,,
,APPC24.06,63,100,2,C,5,25,A,Pop07,Y3,15uM,60,1,0.492,29.028,20,9.84,2,G,6,L7,707,8,pH20,30,,1,0.14,4.06,6,pH20,40,1,0.53,20.67,,,,,,,
,APPC24.09,64,100,2,D,5,25,A,Pop07,Y4,15uM,60,1,0.196,11.564,20,3.92,2,H,6,L7,707,8,pH20,30,,1,0.288,8.352,6,pH20,40,1,0.618,24.102,,,,,,,
,APPC25.13,65,100,2,E,5,25,A,Pop07,Y5,15uM,60,1,0.228,13.452,20,4.56,2,A,7,L7,707,8,pH20,30,,1,0.994,28.826,6,pH20,40,1,0.49,19.11,,,,,,,
,APPC25.16,66,100,2,F,5,25,A,Pop07,Y6,15uM,60,1,0.352,20.768,20,7.04,2,B,7,L7,707,8,pH20,30,,1,0.544,15.776,6,pH20,40,1,1.68,65.52,,,,,,,
,APPC25.09,67,100,2,G,5,25,A,Pop07,Y7,15uM,60,1,0.516,30.444,20,10.32,2,C,7,L7,707,8,pH20,30,,1,0.74,21.46,6,pH20,40,1,0.45,17.55,,,,,,,
,APPC26.02,68,100,2,H,5,25,A,Pop07,Y8,15uM,60,1,0.498,29.382,20,9.96,2,D,7,L7,707,8,pH20,30,,1,0.932,27.028,6,pH20,40,1,1.22,47.58,,,,,,,
,APPC26.03,69,100,2,A,6,25,A,Pop07,Y9,15uM,60,1,0.36,21.24,20,7.2,2,E,7,L7,707,8,pH20,30,,1,0.108,3.132,6,pH20,40,1,2.14,83.46,,,,,,,
,APPC26.04,70,100,2,B,6,25,A,Pop07,Y10,15uM,60,1,0.204,12.036,20,4.08,2,F,7,L7,707,8,pH20,30,,1,0.598,17.342,6,pH20,40,1,4.56,177.84,,,,,,,
,APPC26.05,71,100,2,A,7,25,A,Pop08,Y1,15uM,60,1,0.392,23.128,20,7.84,2,G,7,L8,708,8,pH20,30,,1,1.03,29.87,6,pH20,40,1,6.1,237.9,,,,,,,
,APPC27.12,72,100,2,B,7,25,A,Pop08,Y2,15uM,60,1,0.258,15.222,20,5.16,2,H,7,L8,708,8,pH20,30,,1,1.6,46.4,6,pH20,40,1,2.94,114.66,,,,,,,
,APPC27.13,73,100,2,C,7,25,A,Pop08,Y3,15uM,60,1,0.264,15.576,20,5.28,2,A,8,L8,708,8,pH20,30,,1,1.25,36.25,6,pH20,40,1,0.922,35.958,,,,,,,
,APPC27.07,74,100,2,D,7,25,A,Pop08,Y4,15uM,60,1,0.276,16.284,20,5.52,2,B,8,L8,708,8,pH20,30,,1,2.4,69.6,6,pH20,40,1,5.34,208.26,,,,,,,
,APPC27.08,75,100,2,E,7,25,A,Pop08,Y5,15uM,60,1,0.396,23.364,20,7.92,2,C,8,L8,708,8,pH20,30,,1,too low,#VALUE!,6,pH20,40,1,1.44,56.16,,,,,,,
,APPC28.23,76,100,2,F,7,25,A,Pop08,Y6,15uM,60,1,0.482,28.438,20,9.64,2,D,8,L8,708,8,pH20,30,,1,0.618,17.922,6,pH20,40,1,2.56,99.84,,,,,,,
,APPC28.27,77,100,2,G,7,25,A,Pop08,Y7,15uM,60,1,0.298,17.582,20,5.96,2,E,8,L8,708,8,pH20,30,,1,1.25,36.25,6,pH20,40,1,9.54,372.06,,,,,,,
,APPC28.28,78,100,2,H,7,25,A,Pop08,Y8,15uM,60,1,0.498,29.382,20,9.96,2,F,8,L8,708,8,pH20,30,,1,1.37,39.73,6,pH20,40,1,11.3,440.7,,,,,,,
,APPC29.29,79,100,2,A,8,25,A,Pop08,Y9,15uM,60,1,0.338,19.942,20,6.76,2,G,8,L8,708,8,pH20,30,,1,1.97,57.13,6,pH20,40,1,1.28,49.92,,,,,,,
,APPC30.21,80,100,2,B,8,25,A,Pop08,Y10,15uM,60,1,0.298,17.582,20,5.96,2,H,8,L8,708,8,pH20,30,,1,1.55,44.95,6,pH20,40,1,2.5,97.5,,,,,,,
