Date,SampleID,TubeNumber,Input_ng,Plate,Row,Column,VolFromSonicatorSample_uL,SequencingPool,Capture,AdapterID,AdapterConcentration,PostLigElutionVol_uL,PostLigQVol_uL,PostLigQuant_ng_uL,PostLigTotal_ng,VolForPCR,PCRInput_ng,PCRPlate,PCRRow,PCRColumn,ForwardPrimerID,ReversePrimerID,PCRCycles,ElutionBuffer,ElutionVol_uL,Vol_Bioanalyzer,Vol_Qubit,FinalConcentrationAfterPCR1Wrong_ng_uL,TotalDNAWrong_ng,SecondPCRCycles,SecondElutionBuffer,SecondElutionVol_uL,SecondVolQubit_uL,SecondQuant_ng_uL,SecondTotalDNA_ng,,,,,,,
,APPC44.01,143,10,4,C,5,25,B,Pop15,Y3,3uM,25,1,2.54,60.96,4,10.16,3,G,4,L7,707,8,pH20,30,,1,2.54,73.66,6,pH20,40,1,0.278,10.842,,,,,,,
,APPC44.13,144,10,4,D,5,25,B,Pop15,Y4,3uM,25,1,0.182,4.368,15,2.73,3,H,4,L7,707,8,pH20,30,,1,1.86,53.94,6,pH20,40,1,0.672,26.208,,,,,,,
,APPC15.02,145,100,4,E,5,25,B,Pop15,Y5,15uM,25,1,0.736,17.664,10,7.36,3,A,5,L7,707,8,pH20,30,,1,1.83,53.07,6,pH20,40,1,1.3,50.7,,,,,,,
,APPC15.21,146,100,4,F,5,25,B,Pop15,Y6,15uM,25,1,0.944,22.656,10,9.44,3,B,5,L7,707,8,pH20,30,,1,2.16,62.64,6,pH20,40,1,1.46,56.94,,,,,,,
,APPC15.22,147,100,4,G,5,25,B,Pop15,Y7,15uM,25,1,0.938,22.512,10,9.38,3,C,5,L7,707,8,pH20,30,,1,4.04,117.16,6,pH20,40,1,1,39,,,,,,,
,APPC22.01,148,100,4,H,5,25,B,Pop15,Y8,15uM,25,1,1.27,30.48,5,6.35,3,D,5,L7,707,8,pH20,30,,1,1.06,30.74,6,pH20,40,1,0.83,32.37,,,,,,,
,APPC22.12,149,100,4,A,6,25,B,Pop15,Y9,15uM,25,1,0.41,9.84,15,6.15,3,E,5,L7,707,8,pH20,30,,1,0.302,8.758,6,pH20,40,1,0.7,27.3,,,,,,,
,APPC29.01,150,100,4,B,6,25,B,Pop15,Y10,15uM,25,1,0.234,5.616,15,3.51,3,F,5,L7,707,8,pH20,30,,1,1.4,40.6,6,pH20,40,1,0.194,7.566,,,,,,,
,APPC36.01,151,100,4,A,7,25,B,Pop16,Y1,15uM,25,1,0.578,13.872,10,5.78,3,G,5,L8,708,8,pH20,30,,1,1.19,34.51,6,pH20,40,1,0.322,12.558,,,,,,,
,APPC36.12,152,100,4,B,7,25,B,Pop16,Y2,15uM,25,1,0.456,10.944,10,4.56,3,H,5,L8,708,8,pH20,30,,1,5.6,162.4,6,pH20,40,1,3.86,150.54,,,,,,,
,APPC38.02,153,100,4,C,7,25,B,Pop16,Y3,15uM,25,1,0.896,21.504,10,8.96,3,A,6,L8,708,8,pH20,30,,1,2.16,62.64,6,pH20,40,1,0.378,14.742,,,,,,,
,APPC38.28,154,100,4,D,7,25,B,Pop16,Y4,15uM,25,1,0.594,14.256,10,5.94,3,B,6,L8,708,8,pH20,30,,1,2.46,71.34,6,pH20,40,1,1.64,63.96,,,,,,,
,APPC41.02,155,100,4,E,7,25,B,Pop16,Y5,15uM,25,1,0.532,12.768,10,5.32,3,C,6,L8,708,8,pH20,30,,1,0.672,19.488,6,pH20,40,1,1.58,61.62,,,,,,,
,APPC41.28,156,100,4,F,7,25,B,Pop16,Y6,15uM,25,1,1.01,24.24,10,10.1,3,D,6,L8,708,8,pH20,30,,1,1.97,57.13,6,pH20,40,1,5.58,217.62,,,,,,,
,APPC42.01,157,100,4,G,7,25,B,Pop16,Y7,15uM,25,1,0.924,22.176,10,9.24,3,E,6,L8,708,8,pH20,30,,1,1.34,38.86,6,pH20,40,1,1.17,45.63,,,,,,,
,APPC42.11,158,100,4,H,7,25,B,Pop16,Y8,15uM,25,1,0.606,14.544,10,6.06,3,F,6,L8,708,8,pH20,30,,1,2.46,71.34,6,pH20,40,1,1.59,62.01,,,,,,,
,APPC42.15,159,100,4,A,8,25,B,Pop16,Y9,15uM,25,1,1.28,30.72,5,6.4,3,G,6,L8,708,8,pH20,30,,1,0.448,12.992,6,pH20,40,1,1.35,52.65,11,pH2O,40,1,2.98,116.22,
